candidate,year,arm,tau_0.02,tau_0.05,tau_0.1,tau_0.15,tau_0.2,tau_0.3,tau_0.375,tau_0.5,tau_0.75,tau_1
Joelr31,2006,net,1,3,6,10,13,19,24,32,48,58
Johan Elisson,2006,net,1,3,6,9,13,19,24,32,47,63
Joke137,2006,net,1,2,3,4,6,8,11,13,19,28
Jonathunder,2006,net,1,3,6,9,11,17,21,27,42,56
Joshbuddy,2006,net,2,5,11,15,18,24,28,34,52,71
JoshuaZ,2006,net,2,6,13,19,26,38,45,61,92,121
Josiah Rowe,2006,net,1,3,6,9,11,16,20,27,38,52
JPD,2006,net,2,5,9,14,19,28,33,44,68,91
Jusjih,2006,net,1,4,7,11,15,22,28,35,52,69
JzG,2006,net,2,5,10,15,20,29,37,49,74,95
Kaisershatner,2006,net,1,3,6,9,10,15,16,21,26,34
Kcordina,2006,net,1,2,4,7,9,14,17,22,33,44
Keenan Pepper,2006,net,1,4,7,11,15,22,28,37,56,74
Khoikhoi,2006,net,4,8,8,3,4,23,36,58,88,123
KillerChihuahua,2006,net,1,3,7,10,13,18,21,28,41,50
Kilo-Lima,2006,net,0,2,5,8,11,17,22,29,41,52
Kimchi.sg,2006,net,2,6,12,18,22,31,38,50,73,100
KimvdLinde,2006,net,2,5,9,14,19,25,32,43,66,83
King of Hearts,2006,net,1,4,7,11,15,22,27,36,53,71
Kingboyk,2006,net,1,3,6,8,11,15,19,24,37,50
Kjkolb,2006,net,2,4,9,13,18,26,33,44,66,88
Konstable,2006,net,1,2,5,7,9,14,18,24,34,46
Kpjas,2006,net,0,2,4,6,10,17,23,33,50,67
Kukini,2006,net,2,4,9,13,17,25,31,41,62,83
Kungfuadam,2006,net,1,3,6,8,11,17,21,28,40,54
Kusma,2006,net,2,4,8,12,16,24,30,40,60,80
Kylu,2006,net,3,7,15,20,23,32,39,49,63,82
Lar,2006,net,2,6,11,16,22,33,41,53,75,101
Larry V,2006,net,1,2,4,4,4,7,10,16,26,33
Laurascudder,2006,net,2,4,8,13,17,26,32,42,64,84
Lethe,2006,net,1,3,5,8,11,16,19,26,39,53
Lightdarkness,2006,net,3,7,11,17,23,34,41,56,88,118
Ligulem,2006,net,2,6,14,19,26,41,52,63,93,126
LiquidGhoul,2006,net,2,4,8,12,16,24,30,40,57,74
Lord Voldemort,2006,net,3,8,15,23,30,44,56,75,108,147
Lostintherush,2006,net,1,3,6,9,12,17,22,29,44,58
Luna Santin,2006,net,2,4,9,12,18,27,35,47,67,91
Makemi,2006,net,1,2,5,8,10,13,15,17,27,35
Mangojuice,2006,net,1,3,6,9,11,18,22,31,47,63
Mark83,2006,net,1,3,5,8,10,16,20,24,37,48
Martinp23,2006,net,1,2,1,1,1,0,0,-1,-6,-6
Martyman,2006,net,2,4,8,11,15,23,28,38,57,74
Master Jay,2006,net,2,4,7,7,8,8,11,16,29,39
Mathwiz2020,2006,net,1,2,3,5,7,10,12,16,25,33
MCB,2006,net,1,2,5,7,10,15,18,24,37,49
Mdd4696,2006,net,1,2,4,6,8,13,16,21,32,42
Meegs,2006,net,1,2,4,7,10,15,20,26,40,54
Melchoir,2006,net,1,4,7,11,15,22,27,36,55,72
Merope,2006,net,1,3,5,9,12,18,21,28,43,54
Messedrocker,2006,net,-1,-2,2,2,1,-2,7,23,56,86
Metamagician3000,2006,net,1,3,4,6,9,12,15,22,33,47
Metros232,2006,net,1,4,7,11,14,22,27,36,53,71
Mets501,2006,net,2,3,1,0,-5,0,8,22,46,68
Mike 7,2006,net,1,3,5,8,10,16,20,24,35,46
Mike Selinker,2006,net,1,3,6,9,12,18,22,30,43,57
MisfitToys,2006,net,1,3,6,10,13,16,16,23,33,45
Misza13,2006,net,3,6,13,19,26,39,48,64,97,129
MPF,2006,net,2,4,8,11,15,20,26,36,54,72
Mr. Lefty,2006,net,1,2,6,10,8,15,15,25,54,79
MrDarcy,2006,net,1,3,6,9,12,18,22,30,45,60
Mtz206,2006,net,1,3,4,3,5,11,15,19,26,30
Myleslong,2006,net,1,2,3,5,7,11,14,21,29,36
Naconkantari,2006,net,0,1,3,6,6,18,26,34,54,81
Nae'blis,2006,net,2,5,10,15,20,30,38,50,75,100
Natalya,2006,net,2,5,10,15,19,29,36,48,70,91
NawlinWiki,2006,net,1,2,6,9,12,17,22,28,44,58
NCurse,2006,net,2,5,10,14,19,29,36,46,68,90
Netsnipe,2006,net,1,4,6,8,11,17,22,28,45,61
Nightstallion,2006,net,1,2,5,5,8,11,16,23,33,40
Nihonjoe,2006,net,2,4,8,11,15,22,28,38,56,70
Nishkid64,2006,net,1,4,7,11,14,21,26,33,46,50
Nixdorf,2006,net,1,2,2,2,1,4,6,7,17,21
No Guru,2006,net,1,3,6,10,13,20,24,32,49,65
NoSeptember,2006,net,1,2,5,7,9,12,14,19,30,42
Obli,2006,net,1,2,4,7,9,13,16,22,29,40
Ohnoitsjamie,2006,net,1,3,5,6,3,4,8,10,10,4
Olessi,2006,net,1,3,3,4,7,12,16,23,31,40
Opabinia regalis,2006,net,2,4,8,12,16,24,30,40,58,78
Oscarthecat,2006,net,2,5,10,13,15,18,17,18,38,57
Osgoodelawyer,2006,net,1,2,5,8,10,16,20,27,41,55
Pagrashtak,2006,net,1,3,5,8,11,16,20,27,38,50
Paolo Liberatore,2006,net,1,2,5,7,9,14,18,24,35,47
Pepsidrinka,2006,net,2,4,8,12,16,25,31,41,62,78
Peruvianllama,2006,net,2,4,8,10,14,22,28,38,57,77
Petros471,2006,net,2,4,8,13,17,26,25,31,47,60
Pgk,2006,net,2,4,8,12,12,20,26,36,56,74
Phaedriel,2006,net,5,14,27,40,54,81,101,134,194,254
Philip Baird Shearer,2006,net,2,4,8,13,17,25,32,40,61,75
Physicq210,2006,net,1,3,6,8,11,17,21,28,40,48
Pilotguy,2006,net,2,6,12,18,23,34,43,57,85,113
Plange,2006,net,1,3,6,9,12,18,22,30,43,58
Prodego,2006,net,2,4,8,12,16,24,28,38,57,73
ProhibitOnions,2006,net,1,3,6,7,10,16,20,28,40,54
Proto,2006,net,4,10,17,18,23,29,31,46,98,143
PS2pcGAMER,2006,net,1,3,5,7,9,13,18,23,37,53
Pschemp,2006,net,2,4,8,10,15,21,27,38,55,76
Punkmorten,2006,net,1,3,5,8,11,16,20,27,40,50
Quarl,2006,net,2,4,8,13,17,25,28,36,56,76
R.Koot,2006,net,1,4,7,11,15,22,27,36,55,73
RadioKirk,2006,net,1,3,7,10,13,19,24,32,48,60
Rama's Arrow,2006,net,3,7,13,20,27,36,46,49,52,48
RasputinAXP,2006,net,1,3,5,8,11,15,19,25,36,45
Raven4x4x,2006,net,1,3,6,9,12,15,20,27,38,52
Redvers,2006,net,2,5,10,15,20,31,38,51,76,100
Renata3,2006,net,1,4,7,10,14,21,24,33,50,68
Renesis13,2006,net,1,2,4,6,8,12,15,17,21,21
RexNL,2006,net,1,1,4,5,8,13,15,20,27,39
ReyBrujo,2006,net,2,4,8,12,16,24,28,38,58,77
Richardcavell,2006,net,1,3,6,10,13,20,24,31,48,64
Robdurbar,2006,net,1,3,5,8,10,16,20,24,31,44
Robth,2006,net,1,3,6,9,11,15,18,24,36,48
Rockero,2006,net,1,3,3,2,5,7,11,15,24,38
Rockpocket,2006,net,1,0,3,5,8,10,12,16,28,35
Rogerd,2006,net,1,3,6,9,12,19,23,31,46,61
Royalguard11,2006,net,1,3,6,9,12,17,22,29,44,54
Royboycrashfan,2006,net,1,3,7,8,10,17,20,24,30,38
Rspeer,2006,net,1,2,2,2,4,7,10,16,21,32
Runcorn,2006,net,1,2,4,6,8,10,13,18,27,37
Rune.welsh,2006,net,2,6,12,18,25,37,46,62,92,123
RyanGerbil10,2006,net,1,3,5,7,8,12,13,18,26,31
Samir (The Scope),2006,net,2,5,11,16,22,33,42,57,83,109
Samsara,2006,net,1,4,7,11,12,20,25,34,51,63
Samuel Blanning,2006,net,1,4,7,11,15,21,26,35,52,66
Sandstein,2006,net,1,3,5,8,11,18,22,28,41,55
Sarah Ewart,2006,net,3,8,16,25,33,49,62,82,123,157
Saravask,2006,net,1,3,7,10,13,19,23,32,48,60
Saxifrage,2006,net,1,3,6,10,13,19,24,31,45,61
Sceptre,2006,net,2,6,12,18,24,30,29,40,63,59
Scm83x,2006,net,1,3,5,8,11,15,19,26,39,53
Sean Black,2006,net,4,11,18,26,35,49,60,68,85,98
Silence,2006,net,2,5,10,14,19,28,36,47,70,94
Silsor,2006,net,2,6,12,18,20,29,38,46,67,73
Sir Nicholas de Mimsy-Porpington,2006,net,2,5,8,14,18,27,35,46,71,92
Sjorford,2006,net,2,5,9,14,18,27,34,46,68,91
Smurrayinchester,2006,net,3,7,11,18,21,21,28,45,78,112
Snoutwood,2006,net,1,3,6,9,13,19,24,32,47,63
SoothingR,2006,net,1,3,6,10,13,21,26,33,51,66
Sreed1234,2006,net,1,2,5,8,10,14,16,21,32,38
Srikeit,2006,net,0,1,9,16,20,25,26,35,86,136
Steel359,2006,net,1,3,5,8,10,12,16,22,35,48
Steinsky,2006,net,1,2,5,7,10,14,16,22,34,46
Stemonitis,2006,net,1,3,5,8,11,16,19,25,37,49
Stifle,2006,net,1,3,6,10,13,20,21,29,45,58
StuffOfInterest,2006,net,1,2,5,8,11,16,21,26,41,47
Superm401,2006,net,1,2,5,7,8,13,16,22,33,43
Tango,2006,net,1,3,6,9,12,19,23,28,42,57
Tangotango,2006,net,2,5,10,16,21,31,39,52,78,104
Tariqabjotu,2006,net,2,6,12,19,25,38,47,59,89,120
Tawker,2006,net,4,3,7,8,14,26,35,46,69,93
Teke,2006,net,2,4,8,11,15,20,26,36,54,71
TexasAndroid,2006,net,1,3,6,9,11,17,21,28,43,57
Thatcher131,2006,net,3,7,15,20,22,33,41,55,81,99
The JPS,2006,net,2,5,9,13,17,27,33,45,65,86
theProject,2006,net,1,3,7,10,13,20,25,33,50,66
TigerShark,2006,net,2,4,8,11,15,16,20,24,36,48
Tijuana Brass,2006,net,2,4,8,12,14,20,24,34,52,72
TimPope,2006,net,1,2,4,6,8,10,13,18,28,38
TKD,2006,net,1,2,4,6,7,11,14,18,28,37
Tom harrison,2006,net,1,2,4,7,7,12,15,20,32,43
TomTheHand,2006,net,1,2,4,7,9,13,16,22,31,42
Tone,2006,net,1,2,5,7,10,14,16,22,31,42
Tonywalton,2006,net,1,2,4,6,8,11,14,19,28,37
Tr̦del,2006,net,1,3,5,8,11,16,20,27,40,53
Trialsanderrors,2006,net,2,4,8,11,15,23,28,36,53,67
Turnstep,2006,net,1,3,6,9,10,14,18,24,39,51
Tyrenius,2006,net,-1,-3,-6,-8,-11,-15,-9,2,24,43
Tznkai,2006,net,1,3,5,8,11,16,20,26,40,51
UkPaolo,2006,net,1,2,5,8,10,15,19,25,38,48
Vary,2006,net,1,3,6,9,12,19,23,31,44,60
Vegaswikian,2006,net,1,2,4,7,9,13,16,19,19,26
Viridae,2006,net,-1,-3,-5,-4,-5,-8,-9,-5,0,2
W.marsh,2006,net,2,5,11,16,22,32,40,54,81,108
Wangi,2006,net,1,3,7,10,13,18,21,27,38,48
Water Bottle,2006,net,1,2,5,7,8,12,16,22,34,46
WAvegetarian,2006,net,1,3,6,11,15,23,30,40,61,80
Wgfinley,2006,net,1,3,5,8,10,13,16,21,32,43
Where,2006,net,2,5,10,15,20,30,38,50,76,101
Whouk,2006,net,1,4,7,11,14,22,27,36,54,68
Wickethewok,2006,net,1,4,7,10,14,21,26,35,49,51
Wiki alf,2006,net,2,5,9,14,19,28,35,46,70,91
William M. Connolley,2006,net,3,8,15,23,30,45,55,64,89,104
Winhunter,2006,net,2,4,9,12,15,19,25,27,55,83
Wknight94,2006,net,1,3,6,10,13,20,24,32,49,65
Wouterstomp,2006,net,1,2,4,6,8,11,14,17,25,34
Wwwwolf,2006,net,0,2,6,9,12,19,24,31,46,57
Xaosflux,2006,net,2,5,10,15,19,29,36,48,69,93
Xoloz,2006,net,3,7,15,22,29,42,53,71,107,137
Xyrael,2006,net,1,3,6,9,10,17,19,27,35,46
Yamla,2006,net,1,3,5,8,10,16,20,26,37,49
Yanksox,2006,net,2,5,9,15,21,27,35,45,72,98
Yomangani,2006,net,2,4,8,13,17,19,25,33,43,58
Youngamerican,2006,net,1,3,7,10,14,21,26,34,52,69
Zsinj,2006,net,-2,-1,-3,-3,-6,-8,-2,6,25,46
4836.03,2006,net,1,1,1,-1,-1,-4,-5,-8,-13,-17
9cds,2006,net,-1,0,-1,-2,-3,-6,-4,-2,-3,-3
A Link to the Past,2006,net,1,4,3,4,5,12,13,12,6,1
AaronS,2006,net,-1,-1,-1,0,1,3,3,1,-1,-4
Abu badali,2006,net,1,1,1,2,3,3,3,4,5,0
Acebrock,2006,net,0,-1,-3,-4,-5,-5,-8,-8,-10,-18
Adam1213,2006,net,-1,-2,-5,-8,-9,-14,-15,-16,-18,-19
Agateller,2006,net,-1,-1,-4,-4,-6,-7,-9,-11,-17,-16
AKGhetto,2006,net,1,2,4,6,8,10,12,11,12,10
Alan Liefting,2006,net,1,3,5,8,6,5,6,4,3,-1
Alfakim,2006,net,1,2,2,0,-1,-3,-3,-6,-9,-11
Alphax,2006,net,2,5,5,10,15,16,21,28,38,49
Ambuj.Saxena,2006,net,3,8,16,24,31,45,56,75,69,67
Amgine,2006,net,2,4,9,15,19,25,32,29,33,43
Andypandy.UK,2006,net,2,5,10,14,19,24,30,24,33,43
Anglius,2006,net,-1,-2,-4,-5,-7,-10,-13,-18,-25,-33
Anthony.bradbury,2006,net,1,2,1,3,2,6,11,17,15,14
Anthony Appleyard,2006,net,1,3,6,7,10,12,17,23,20,26
Aranda56,2006,net,1,2,3,3,4,8,8,12,16,18
asams10,2006,net,1,2,0,-1,-3,-6,-6,-7,-11,-16
Axiomm,2006,net,-1,-1,-3,-2,-4,-5,-5,-9,-13,-18
Badlydrawnjeff,2006,net,2,6,11,17,20,31,40,50,55,54
benon,2006,net,0,-1,1,1,1,0,0,0,-1,0
Benon3,2006,net,2,4,8,13,17,24,29,31,37,37
Benon4,2006,net,-2,-2,2,0,-3,0,2,5,21,30
Benon5,2006,net,2,4,8,12,16,23,23,19,23,24
Berig,2006,net,1,-1,0,-2,-2,-2,-1,4,1,0
Biruitorul,2006,net,1,1,0,-1,1,1,0,3,12,22
BlackJack,2006,net,1,1,3,2,0,2,5,2,0,-2
Bornhj,2006,net,1,2,3,3,1,1,1,0,2,2
Brian New Zealand,2006,net,1,4,4,3,5,7,8,10,18,24
Brossow,2006,net,1,2,2,4,3,2,5,5,2,-2
Can't sleep, clown will eat me too,2006,net,1,3,7,10,14,20,26,34,51,60
Catamorphism,2006,net,2,5,9,14,18,26,28,33,40,27
Cchan199206,2006,net,0,-1,-2,-3,-5,-4,-7,-8,-11,-20
Ccool2ax,2006,net,-1,-1,-2,-2,-2,-1,-1,-2,-3,-4
Chacor,2006,net,1,4,5,6,5,10,13,18,15,9
CheNuevara,2006,net,1,3,6,10,11,15,15,16,20,26
Chrislk02,2006,net,1,0,0,0,-1,2,1,0,-1,-3
Christopherlin,2006,net,1,1,2,4,5,6,6,10,13,13
Computerjoe,2006,net,1,-2,1,2,3,7,19,21,31,35
Conrad Devonshire,2006,net,-1,-1,-3,-4,-3,-6,-8,-9,-11,-15
Cookiecaper,2006,net,0,-1,-3,-3,-1,1,-2,-6,-9,-14
Cooksey,2006,net,-1,-2,-3,-5,-4,-4,-5,-7,-11,-14
Cool3,2006,net,-1,-1,-1,-3,-4,-3,-2,-4,5,2
CorbinSimpson,2006,net,1,0,-1,-1,-1,-6,-7,-9,-13,-20
Crazytales56297,2006,net,1,1,1,1,1,-1,-2,-6,-9,-10
Crotalus horridus,2006,net,1,1,2,0,1,-2,-3,-6,-5,-5
CTSWyneken,2006,net,1,3,3,2,1,1,1,-3,0,-4
CyberSkull,2006,net,1,2,5,5,8,11,16,18,20,20
Cynical,2006,net,1,0,0,3,5,6,4,4,9,10
Dangherous,2006,net,-1,-3,-4,-5,-3,-3,-4,0,9,14
DarthVader,2006,net,-1,-1,-2,-2,-1,2,0,1,12,9
Deeptrivia,2006,net,1,1,3,4,5,8,8,8,1,-3
Deon555,2006,net,-1,-3,-5,-8,-9,-11,-9,-12,-8,-7
Dewet,2006,net,2,4,8,12,16,19,21,20,27,35
Digitalme,2006,net,1,-1,1,4,5,6,8,6,14,14
Djr xi,2006,net,0,2,5,9,14,21,23,16,12,11
DLJessup,2006,net,1,2,6,9,13,13,15,18,22,28
Doktorbuk,2006,net,0,0,1,3,3,-1,-2,-4,-7,-10
Drumguy8800,2006,net,-1,-2,-5,-6,-7,-7,-8,-8,-10,-14
DuctoMan16,2006,net,-1,-1,-3,-4,-5,-8,-10,-13,-19,-25
Ec5618,2006,net,1,0,-1,-2,-2,-1,-1,1,-1,3
Elonka,2006,net,3,7,14,16,17,21,24,30,32,42
Eluchil404,2006,net,0,0,1,0,0,1,3,9,10,7
Emt147,2006,net,1,1,1,0,2,0,0,-2,-1,-5
Emt1472,2006,net,1,2,1,-1,0,1,0,-2,-7,-7
Encyclopedist,2006,net,1,1,3,4,2,2,4,3,-4,-10
Evadb,2006,net,1,2,5,5,6,4,2,1,-3,-7
Everyking,2006,net,-1,0,-1,-1,-2,-4,-8,-11,-16,-21
EvocativeIntrigue,2006,net,1,3,1,0,-3,-2,-1,-5,-5,-4
Fetofs,2006,net,1,1,2,2,-1,5,8,11,16,13
Flameviper X-1,2006,net,-1,-2,-4,-5,-7,-10,-13,-15,-23,-31
Folajimi,2006,net,-1,-1,-3,-4,-5,-8,-10,-10,-10,-14
Foxearth,2006,net,-1,-2,-4,-6,-8,-9,-9,-9,-15,-23
Fritz Saalfeld,2006,net,1,1,3,4,4,7,7,10,14,16
FT2,2006,net,1,3,5,7,10,12,15,20,25,24
Funnybunny,2006,net,1,2,2,2,4,2,0,-1,-10,-12
Gary Kirk,2006,net,1,0,-1,-2,-2,1,-2,-2,-1,-3
Gene Poole,2006,net,1,2,5,5,8,9,6,2,-8,-9
Genisock2,2006,net,1,3,3,4,3,2,3,2,3,3
Georgewilliamherbert,2006,net,2,5,10,11,14,21,25,31,40,37
Getcrunk,2006,net,2,6,11,17,23,34,35,29,36,37
GHe,2006,net,2,4,7,11,15,21,25,29,31,36
grika,2006,net,-1,-1,-1,0,1,-1,-3,-5,-6,-9
Hamedog,2006,net,1,0,0,0,0,1,1,-1,-3,-6
Heligoland,2006,net,1,3,6,8,11,13,15,15,14,15
Hello32020,2006,net,-1,-2,-4,-3,-1,0,1,0,-2,-8
Hex,2006,net,1,2,2,4,2,-1,-4,-3,-3,-8
HighwayCello,2006,net,1,2,-2,-7,-11,-9,-14,-21,-14,-6
HolyRomanEmperor,2006,net,2,5,0,-2,-5,-2,5,16,25,13
Icelandic Hurricane,2006,net,1,1,-1,-1,-2,-5,-6,-9,-12,-13
Idleguy,2006,net,1,3,6,7,11,12,11,11,11,9
Ikiroid,2006,net,0,1,3,5,7,11,14,19,26,27
ILovePlankton,2006,net,2,5,9,14,15,14,16,15,10,-1
Infinity0,2006,net,-1,-2,-2,-4,-4,-8,-10,-12,-16,-25
Jc37,2006,net,-1,-2,-4,-4,-5,-7,-7,-4,-4,-6
Jersey Devil,2006,net,2,4,8,10,12,16,17,18,16,24
Joturner,2006,net,5,13,13,24,28,29,35,65,100,109
JP06035,2006,net,1,2,4,3,2,2,0,0,-2,-7
Jtkiefer,2006,net,1,1,1,2,2,1,-1,-6,-14,-23
Juro,2006,net,1,1,3,4,2,-1,-3,-6,-13,-14
Kafziel,2006,net,2,2,3,3,-2,4,7,21,36,48
Karmafist,2006,net,3,5,3,-1,1,1,-3,-2,-8,-5
Keldan,2006,net,-1,-1,-3,-4,-6,-8,-9,-12,-15,-19
Kevin Baas,2006,net,1,0,0,-2,-4,-3,-3,-8,-9,-17
KI,2006,net,-1,-3,-5,-5,-5,-1,-3,-5,-7,-9
Kku,2006,net,-1,-1,-3,-3,-4,-3,-3,-4,-7,-8
Kseferovic,2006,net,1,0,-1,0,2,-1,-2,1,3,-2
larsinio,2006,net,1,1,-2,-4,-3,-6,-8,-4,3,8
Lcarsdata,2006,net,-1,-1,-2,-4,-5,-6,-6,-6,-6,-11
Llama man,2006,net,1,2,5,6,9,13,16,14,5,-2
Locke Cole,2006,net,0,2,6,7,10,13,13,9,12,12
Lotsofissues,2006,net,1,2,4,5,7,9,10,9,8,7
Lulu of the Lotus-Eaters,2006,net,2,5,10,16,19,15,20,25,40,38
M1ss1ontomars2k4,2006,net,-1,0,-1,-2,-3,0,0,0,0,1
Mac Davis,2006,net,1,0,1,-1,-1,-4,-7,-11,-14,-16
Malber,2006,net,-1,-3,-5,-7,-8,-13,-8,-11,-20,-25
Maltesedog3,2006,net,-1,0,-1,-3,-3,-8,-9,-10,-14,-18
Markovich292,2006,net,-1,-3,-5,-5,-5,-9,-13,-17,-18,-24
Martial Law,2006,net,-1,-2,-4,-5,-7,-11,-11,-14,-21,-26
Master of Puppets,2006,net,2,6,8,13,17,15,19,21,19,34
Matt Yeager,2006,net,2,5,8,13,14,18,14,17,27,13
MatthewFenton,2006,net,-1,-3,-6,-8,-10,-14,-15,-20,-25,-37
MatthewUND,2006,net,1,0,0,0,2,1,2,3,8,13
Maxamegalon2000,2006,net,-1,0,1,3,2,3,6,7,7,9
Mb1000,2006,net,-1,-2,-2,-3,-2,0,0,-3,-3,-4
Mboverload,2006,net,1,3,-1,0,-2,-4,-3,-8,2,8
MegamanZero,2006,net,1,2,1,3,1,-1,2,-2,-5,-7
MER-C,2006,net,2,5,9,14,20,27,30,37,43,34
MichaelBillington,2006,net,1,2,4,4,6,4,1,1,-4,-4
Micoolio101,2006,net,-1,-1,-3,-4,-6,-6,-8,-12,-19,-24
Mike1,2006,net,-1,-3,-2,-1,-1,0,5,14,11,12
Mipadi,2006,net,1,2,1,0,0,-2,-4,-5,-4,-8
MJCdetroit,2006,net,1,0,0,2,3,1,0,-3,-7,-10
Moe Epsilon,2006,net,1,2,4,6,7,11,10,12,12,15
MoRsE,2006,net,-1,-1,-1,0,-1,0,1,3,6,10
Northenglish,2006,net,1,1,-3,-5,-6,-11,-5,3,19,18
Ombudsman,2006,net,1,2,1,1,0,-3,-5,-9,-13,-20
Osbus,2006,net,-1,0,0,-1,-2,-4,-6,-9,-14,-17
P.B. Pilhet,2006,net,-1,-1,-1,-3,-3,-2,-2,-3,-5,-8
Paul Cyr,2006,net,1,2,2,2,2,1,0,-2,-6,-10
Pegasus1138,2006,net,-3,-8,-11,-14,-20,-28,-36,-29,-32,-29
PHDrillSergeant,2006,net,-1,-2,0,2,0,-4,-5,-8,-15,-20
Piemanmoo,2006,net,1,1,-1,-2,-4,-6,-8,-11,-18,-22
Pmanderson,2006,net,3,8,13,19,23,14,12,9,13,11
Preslethe,2006,net,-1,-2,-2,-4,-3,-3,-4,-7,-11,-16
R.D.H. (Ghost In The Machine),2006,net,1,3,6,9,13,17,22,30,31,21
Ramsquire2,2006,net,-1,-1,-3,-4,-5,-6,-7,-5,-8,-12
RandyWang,2006,net,1,-1,2,4,6,9,10,8,15,22
RGTraynor,2006,net,-1,-1,1,3,4,4,7,8,6,4
Rmrfstar,2006,net,0,-1,-3,-4,-3,-3,-3,-2,2,-2
Robchurch,2006,net,6,13,25,33,42,31,44,79,117,113
Robert McClenon,2006,net,-1,1,1,2,3,4,7,9,8,12
Rogerthat,2006,net,1,-1,-4,-2,1,5,4,2,5,1
Rory096,2006,net,-1,2,1,-5,-8,3,4,2,2,4
Ryulong,2006,net,3,8,13,15,15,15,18,19,29,16
Saint-Paddy,2006,net,-1,-1,-3,-4,-3,-4,-6,-6,-11,-15
Sam Spade,2006,net,0,2,1,5,7,10,8,7,1,-7
SaxTeacher,2006,net,1,0,-1,-3,-3,-4,-6,-7,-11,-13
SB Johnny,2006,net,-1,-2,-3,-3,-3,-6,-7,-7,-6,-9
Schuminweb,2006,net,1,2,4,3,4,5,4,4,4,-5
Schzmo,2006,net,-1,-2,-2,-3,-4,-4,-7,-9,-11,-16
Schzmo2,2006,net,1,2,1,3,5,8,9,9,13,13
Selmo,2006,net,-1,-2,-4,-5,-5,-9,-12,-14,-18,-19
Seraphimblade,2006,net,-1,-1,1,0,-1,1,-1,-2,-4,-9
Simetrical,2006,net,2,6,12,18,23,35,42,56,52,39
Siva1979,2006,net,3,5,6,8,13,21,29,36,74,82
SoM,2006,net,1,0,2,4,7,3,5,9,8,11
Spawn Man,2006,net,1,2,4,5,6,8,11,12,9,7
ST47,2006,net,-1,-1,-1,0,-1,-2,-3,1,9,-2
Stephen B Streater,2006,net,1,3,4,5,8,12,13,5,2,4
SteveBaker,2006,net,-1,1,0,1,2,7,11,11,16,16
Steveo2,2006,net,1,0,0,1,-2,-4,-8,-13,-16,-25
Stevietheman,2006,net,1,2,4,6,9,9,11,15,16,14
Sukh,2006,net,0,2,5,3,4,9,14,15,22,25
Swatjester,2006,net,3,7,14,20,27,32,36,40,40,38
SWD316,2006,net,1,1,3,4,6,9,9,10,5,7
SynergeticMaggot,2006,net,1,3,5,4,5,5,8,3,-3,1
Tarret,2006,net,0,0,0,0,2,5,4,5,5,8
Tdxiang,2006,net,-1,-1,1,3,4,2,-1,-6,-4,-13
TehKewl1,2006,net,-1,-3,-5,-5,-5,-7,-7,-14,-19,-26
Terence Ong,2006,net,5,10,19,29,34,39,36,52,80,66
The Halo,2006,net,2,3,2,3,6,12,12,21,28,35
The Thadman2,2006,net,1,1,1,0,-1,-1,-4,-3,7,4
The Transhumanist,2006,net,1,0,0,-1,-3,-4,-5,-9,-12,-18
The Wookieepedian,2006,net,1,0,0,-1,0,-3,-6,-8,-10,-15
Tmorton166,2006,net,1,0,0,-1,-2,-5,-5,-6,-8,-13
TodorBozhinov,2006,net,1,-1,-1,-1,1,5,6,10,12,11
TonyTheTiger,2006,net,-1,-1,1,1,1,0,1,-1,-6,-11
Trampikey,2006,net,-1,0,0,0,-2,-6,-7,-8,-18,-20
TruthbringerToronto,2006,net,1,3,3,2,1,1,-2,-6,-14,-22
Trysha,2006,net,1,4,5,10,8,7,8,17,28,28
Tv316,2006,net,1,3,7,10,8,9,13,12,21,23
Urthogie,2006,net,1,1,1,2,1,-2,-4,-7,-12,-12
WCityMike,2006,net,1,2,2,0,0,-3,-2,-4,-10,-13
Werdna,2006,net,1,3,6,9,12,14,18,24,31,24
Werdna648,2006,net,4,9,13,17,20,26,23,44,43,48
Wikiwoohoo,2006,net,1,2,1,3,6,13,17,23,29,28
WillC,2006,net,1,1,2,2,2,-2,-5,-11,-21,-32
Williamborg,2006,net,1,1,1,1,1,-2,0,-2,-4,-7
Xchrisblackx,2006,net,-1,-3,-5,-8,-7,-12,-10,-12,-15,-27
Xerocs2,2006,net,-1,-1,-2,-4,-5,-8,-9,-12,-18,-20
Ynhockey,2006,net,1,2,4,4,5,1,-2,-6,-13,-19
Zanaq,2006,net,-1,-2,-1,-2,-3,-3,-5,-9,-13,-18
Zappa.jake,2006,net,1,0,0,-1,-1,-4,-8,-9,-12,-13
Zapptastic,2006,net,1,2,2,4,6,9,10,11,7,9
Zpb52,2006,net,-1,-2,0,-2,-1,3,6,5,0,-2
Zzuuzz,2006,net,1,1,3,5,9,14,19,24,32,36
23skidoo,2005,net,1,3,6,8,11,17,21,28,42,56
A Man In Black,2005,net,1,2,3,5,6,9,9,13,18,26
ABCD,2005,net,1,2,4,4,5,5,8,10,17,22
Acetic Acid,2005,net,0,-2,4,9,14,24,32,45,72,78
Adashiel,2005,net,1,2,4,6,8,12,15,20,30,38
Alabamaboy,2005,net,0,1,4,6,9,13,17,23,33,45
Alai,2005,net,1,3,5,8,11,16,20,27,40,54
Alhutch,2005,net,1,1,2,4,5,8,9,12,19,25
Alkivar,2005,net,2,6,6,8,12,18,24,38,48,59
